ID,text,label
VCCTI2C,look 3rft why dima n9lk i don t like her,-1
43X4PE6,3andek el hak ya mryem,1
77UOVNW,hhhhhhhh miboun,-1
9SD72YM,fhemtou tawa y a aabakira,-1
H0H6L8Q,saybha lfri9i hez flousk ou eb3dna,-1
IV8QUA4,ech̩b yrid errye7i m en jedid,1
F9Q2P4I,chbik ched el flous bel imin mela,-1
UN6W26U,tozzzzzzzz fi ta7ana ma 3andhom fin youslou 9a3dou ken ynabrou 3lik w 3la ca,-1
05XHVX7,bravo ya si sloim,1
VIL1NSY,ma3ak slim riahi,1
6DGH250,ana man marocco o nahbk o namot 3alk,1
LKTR3EF,fehemni ech yek,-1
CK8ZO6N,vrooom vrooom,1
AC1P241,abonn̩ vous slvp,0
VAU4452,5ol 3m w inta b5ir 5ol 3m w inta 7ob w 3iedilna ala ci monji,1
D1BQKYF,ma feha bess ki t7ot source mta3 l musique,-1
O1B7KAC,brabbi 7keyet samba sow cha3malna feha errajil yetrena fil equipe mte3ou et merci,1
M7GMFBS,a3mil ili trah sala7 bravoooooooooooooooooo kamil i5dim salam,1
TPOABJX,mala begi,1
23O79BA,fi9 y a cha3eb lebled melli chadha beji l da5let fi 7ite 7atta lemtare 9asset,-1
HNB2WDL,borjoliya m3alem yeser,1
PY0AFKS,slouma kol chay ken montssar,1
WROFWXV,nice video keep going bro,1
I3STF62,fake rapper,-1
CLIVGCA,ahsin ikhtiyar merci slouma rabi yewafi9na,1
OB63OC0,kol 3am wenti 7ay be5ir ya king,1
SPZ12UF,m6 i love you djabou,1
LKPCS6G,l abdi normal 5ali ye5thouh walh 7kayto fergha ama nefzi mayelzemhach te5tho a7na mest7a9ino barcha benesba liya ba3d hocine ragued howa theni aham joueur najmo njibouh nefzi kan te5tho est bel7a9 wa9tha netsamo klina kaf 9wiy,-1
MKZT76A,c est la verit̬,1
1QCJCV7,wa7da ibwa7da ok,1
H3BGRGM,t7b t3ich far7an 7b ca w a3che9 cha3bha b 9odrt rabi waldik yarthou 3lik,1
7RE3XEQ,bravo si slim ekdem 3ala rohek ou jomhour m3ak,1
CZQROCV,3asslama si slim tbarkellah 3lik matfoutekchi hta haja ella w twadhe7ha w ta7ki 3liha khater hal ayemtna hadhi kotheret fiha akhebar 4alta siwa min e3lem wla 3al facebook 7assilo rabi m3ak w ca be7awlel allah mansoura,1
NMRK4B7,ye5i fesh yahki heza w mnin tounsi el miboun heza ma3adesh fahmin 3likom fesh tahkiw,-1
MXP0FRE,hay lah9i9a nhezou el al9ab bdhre3na ya basas sehli jabri,-1
FNQ1QDO,bourjouya klem ma39oul mais chwya kabes bahin zeda,1
NHOWPC3,chkoun mazel iyesma fiha 10 18,1
9VR7WGC,rabiye ynik lkoll n wiouuuuii,1
CMH3HRP,akbar ta7an fi tounis,-1
QJL8TLF,3alih barnmaj yekechfi fi koli chayi,-1
V3XFTU3,ti yezi bech bas̩ w kedeb 5eritou fih rakoum,-1
