ID,text,label
13P0QT0,3sbaaaaaaaaaaaaaaaaaaaa lek ou le seim riahi ou 3sbaaaaaaaaaaaaaaaaaaaaaaaaaaa le ca,-1
SKCLXCJ,cha3eb fey9elkoum menghir ta7ayoul ou kressi,-1
V1TVXIJ,bereau degage nathef ya slim walahi ya7chiw fih jma3a lem3amel 3lihom walah kit jib messi lana3mlou chay 7amlet nathafa fil bureaux ca jam3iya 3ari9a mel 3am 94 bdet da5la fi 7it choufelna hal mochkla belehi te5na9na mel fada tous les équipe mergine fina ken jit kifek walah maye5lsouch wi3adiw 3am jaych bech yetrabaw elkoura fi se9ik enti en9eth jam3iya ya slim wna3ref tnajim ta3melha,-1
U0TTYY8,ak slouma,1
68DX797,entom titmanou lina a7na 3iid moubarik a7na cha3b lmanyik lf9iir lmit5alim eli mahouch korza kifkom y3anbou t7iinkom,-1
OSTX8NX,hhhhhhhh blidaa minik ba3d doussieet athika ilkol 8nayit a7na wil 9amar jiran,1
I1JT3SJ,wahdek big boss,1
54FC0NS,9arwwwwii yhbb 3alaa bouwahh la7niynn 5hndhawii,-1
0NF40PI,ti blaad faasda ya hsouna hedheka el wa9a3 b ad faasda w rabbi yehannik fi dawla faasda w 3aalam saaba3 w ma tasla77 ken lamthelek fil 3a9a3,-1
2ZB3IIF,3omra ma9boula si slim,1
U5XMBAS,malla ro5ssssss w malla tefehaaaaaa tfouhh alikom,-1
OUKCO8J,admin kifech najem nwali membre fi partie politique de mr moncef marzouki,1
SK392WJ,mabrouk li tounes kolha bi monadhel felecitation congratulation auguri,1
0GAME2R,el démocratiya mazara wa bahiya roudoubelkoum mine el rioubiya mataha wa chidou kèn fil béhi ama el rayèb akther mine el bahiy rater el inssène i hèb i lawajèj yala el jdid wa sayèt el jdid ikoun kima el tofaha el masawssa,-1
8S87J83,ca maliha ken wlèd ha,1
MVWXT5U,mn 9bal basas btbi3tk,-1
2Y4ZBGR,brabi ye slim riahi 9oul lessayd 5imed riahi yezina min ta5li9atek el masta ou medebina ma5adech ya5ti 7ata tasri7 fi talfza 7ater klemou meicharafchi ennedi el efri9i ou fi 5oudh 9a5ed iloum fi larbitraj illi 5awen ca loumou ejoueret ou pluto el bnet illi 9a5da tetmenik 5ajam5ya hadha messaji lik min mou7eb li ca,-1
05UUHGC,les zommmmes,-1
XMK4BKJ,nheb nkollek ana mathimni fi tunis ken ca w madhabia timchi 3la rohek milli ritnek ma rana khir,0
UE0MZZ9,siédet raéies el joumhouria ama ba3ed ena cheb ablo8o men el 3omr 20 sana walaies ladia 3amal aw mosta9bal ena battal wourido al3amall fi soufouf al 7aras alwatani walaisa ladaia mostawa tha9afi kabir ladaia niveou 2éme anné secondair ena men 3aéla fa9ira jidin lé orido i3ana ball orido fa9at al 3amal fi al 7aras al watani kima ta3ref saidi alraies ldo5oul fi el 7ras yajibo an yakouna lak niveou bac et edhan arjo menka atada5oul litaisir 9oubouli fi al 7aras al watani hadheia mon n 23959266 alah al mosta3an wasalem,-1
5CDCPDW,degage slim riahi degage degage degage slim riahi degage,-1
QH26509,ina li elahi wa ina ilayhi raji3on allah yar7mo,1
CCUHTN5,b1 dit,1
8AUG5QP,bilehi fin tickeyet f parks w la,1
TX1FMHL,mastin w kleb w awled 7ram w tfouh 3likom intouma wel miboun 3arfkom sami el manfou5,-1
2PNCNK0,brabi chnawa ya3mlo fil page hal 7outhalat walfadhalat lamfach5in brabi ya slim a3malhom page 5alli ifotona amsakan azwawla ofet floushom ana je pense i7abo ibadlo jam3iya o5ra o homa mastansich ibadlo fi chi3arathom walla mar5ashom tir ya 7a9ir 5alliw arjel fi ba3adhha,-1
C4YGL1P,a7na dima m3a masla7et jam3yetna ken titfakrou chkon i3tasam fil parc ou 5arej il 3atrous nes mthay3a 5dmitha ou 9raytha fi 5ater jam3aya ou ken ey wa7ed bich yamel m3ana il ri9 rana bich inkolou omou,1
4QG1YD5,3an ay we7da na7nou cha3eb ath3thana al 9atheya al 7a9i9ya wa asb7na nasbe9 3la masle7na ach5siya la 9ad ben bel kechef an ach3ab a tounsi laysa biwatni wa houm 3abda le mel wa soulta taben lakoum cha3eb entihezi,-1
JFT6PYK,kol âme winta bi alf alf kir wkol a me winta yamallim kahir edandouke wilhawi yasir alihom yamallim rake ktalthom bhobik liefriki hahahhhhhh,1
I7H0H0Y,wahadha russia tjib rjel kf pota hata ahna rjel na9ssine kloub,-1
S8OWVW0,bravo wlh m3alem,1
NYIR461,barnamej tafeh w jab wahda tafha,-1
Q32HPA4,ena nhebek t3aweni,1
TARN6YV,slim slim slim slim,0
TFG8HDP,happy birthday y a7la mummy yousr,1
R3F6L9S,hhhhhhhhh a3tawkome haja ki rabho,-1
